n;iteration;theta_no;theta_bh;t_no;t_bh;total_no;total_bh;ratio
10;27;0.000024;0.000063;0.000296;0.000186;0.000320;0.000249;1.285141
10;28;0.000025;0.000063;0.000291;0.000187;0.000316;0.000250;1.264000
10;29;0.000025;0.000063;0.000261;0.000304;0.000286;0.000367;0.779292
10;30;0.000037;0.000098;0.000479;0.000133;0.000516;0.000231;2.233766
10;31;0.000043;0.000087;0.000458;0.000065;0.000501;0.000152;3.296053
10;32;0.000028;0.000071;0.000267;0.000098;0.000295;0.000169;1.745562
10;33;0.000025;0.000064;0.000251;0.000108;0.000276;0.000172;1.604651
10;34;0.000024;0.000064;0.000235;0.000165;0.000259;0.000229;1.131004
10;35;0.000037;0.000094;0.000319;0.000219;0.000356;0.000313;1.137380
10;36;0.000037;0.000090;0.000438;0.000128;0.000475;0.000218;2.178899
10;37;0.000028;0.000119;0.000345;0.000196;0.000373;0.000315;1.184127
10;38;0.000094;0.000105;0.000497;0.000129;0.000591;0.000234;2.525641
10;39;0.000041;0.000092;0.000386;0.000133;0.000427;0.000225;1.897778
10;40;0.000025;0.000064;0.000275;0.000098;0.000300;0.000162;1.851852
10;41;0.000024;0.000064;0.000251;0.000121;0.000275;0.000185;1.486486
10;42;0.000024;0.000064;0.000411;0.000133;0.000435;0.000197;2.208122
10;43;0.000025;0.000064;0.000313;0.000090;0.000338;0.000154;2.194805
10;44;0.000025;0.000063;0.000277;0.000060;0.000302;0.000123;2.455285
10;45;0.000023;0.000063;0.000244;0.000072;0.000267;0.000135;1.977778
10;46;0.000024;0.000061;0.000322;0.000090;0.000346;0.000151;2.291391
10;47;0.000024;0.000064;0.000337;0.000075;0.000361;0.000139;2.597122
10;48;0.000024;0.000064;0.000311;0.000099;0.000335;0.000163;2.055215
10;49;0.000024;0.000063;0.000325;0.000129;0.000349;0.000192;1.817708
10;50;0.000054;0.000127;0.000279;0.000106;0.000333;0.000233;1.429185
10;51;0.000027;0.000072;0.000325;0.000123;0.000352;0.000195;1.805128
10;52;0.000025;0.000064;0.000202;0.000070;0.000227;0.000134;1.694030
10;53;0.000038;0.000098;0.000326;0.000125;0.000364;0.000223;1.632287
10;54;0.000026;0.000073;0.000261;0.000099;0.000287;0.000172;1.668605
10;55;0.000026;0.000064;0.000352;0.000109;0.000378;0.000173;2.184971
10;56;0.000025;0.000063;0.000356;0.000177;0.000381;0.000240;1.587500
10;57;0.000027;0.000066;0.000240;0.000136;0.000267;0.000202;1.321782
10;58;0.000024;0.000063;0.000367;0.000138;0.000391;0.000201;1.945274
10;59;0.000029;0.000063;0.000329;0.000072;0.000358;0.000135;2.651852
10;60;0.000025;0.000063;0.000285;0.000112;0.000310;0.000175;1.771429
10;61;0.000025;0.000063;0.000258;0.000169;0.000283;0.000232;1.219828
10;62;0.000033;0.000090;0.000327;0.000073;0.000360;0.000163;2.208589
10;63;0.000026;0.000070;0.000384;0.000128;0.000410;0.000198;2.070707
10;64;0.000062;0.000110;0.000426;0.000135;0.000488;0.000245;1.991837
10;65;0.000044;0.000087;0.000366;0.000058;0.000410;0.000145;2.827586
10;66;0.000027;0.000083;0.000359;0.000123;0.000386;0.000206;1.873786
10;67;0.000047;0.000093;0.000449;0.000085;0.000496;0.000178;2.786517
10;68;0.000028;0.000064;0.000274;0.000133;0.000302;0.000197;1.532995
10;69;0.000038;0.000094;0.000263;0.000259;0.000301;0.000353;0.852691
10;70;0.000037;0.000094;0.000405;0.000126;0.000442;0.000220;2.009091
10;71;0.000037;0.000092;0.000298;0.000159;0.000335;0.000251;1.334661
10;72;0.000037;0.000094;0.000352;0.000070;0.000389;0.000164;2.371951
10;73;0.000027;0.000101;0.000349;0.000216;0.000376;0.000317;1.186120
10;74;0.000027;0.000095;0.000388;0.000033;0.000415;0.000128;3.242187
10;75;0.000025;0.000091;0.000273;0.000169;0.000298;0.000260;1.146154
10;76;0.000027;0.000070;0.000457;0.000088;0.000484;0.000158;3.063291
10;77;0.000027;0.000065;0.000336;0.000183;0.000363;0.000248;1.463710
10;78;0.000054;0.000102;0.000380;0.000094;0.000434;0.000196;2.214286
10;79;0.000027;0.000064;0.000288;0.000050;0.000315;0.000114;2.763158
10;80;0.000024;0.000072;0.000376;0.000095;0.000400;0.000167;2.395210
10;81;0.000025;0.000063;0.000235;0.000144;0.000260;0.000207;1.256039
10;82;0.000025;0.000065;0.000263;0.000106;0.000288;0.000171;1.684211
10;83;0.000024;0.000063;0.000281;0.000085;0.000305;0.000148;2.060811
10;84;0.000025;0.000065;0.000315;0.000037;0.000340;0.000102;3.333333
10;85;0.000025;0.000063;0.000246;0.000097;0.000271;0.000160;1.693750
10;86;0.000023;0.000065;0.000293;0.000083;0.000316;0.000148;2.135135
10;87;0.000034;0.000096;0.000333;0.000123;0.000367;0.000219;1.675799
10;88;0.000026;0.000067;0.000383;0.000261;0.000409;0.000328;1.246951
10;89;0.000028;0.000109;0.000471;0.000054;0.000499;0.000163;3.061350
10;90;0.000045;0.000113;0.000372;0.000094;0.000417;0.000207;2.014493
10;91;0.000044;0.000068;0.000395;0.000095;0.000439;0.000163;2.693252
10;92;0.000025;0.000105;0.000265;0.000129;0.000290;0.000234;1.239316
10;93;0.000024;0.000062;0.000224;0.000071;0.000248;0.000133;1.864662
10;94;0.000023;0.000080;0.000238;0.000109;0.000261;0.000189;1.380952
10;95;0.000024;0.000063;0.000250;0.000133;0.000274;0.000196;1.397959
10;96;0.000024;0.000064;0.000348;0.000071;0.000372;0.000135;2.755556
10;97;0.000025;0.000062;0.000290;0.000159;0.000315;0.000221;1.425339
10;98;0.000023;0.000063;0.000229;0.000069;0.000252;0.000132;1.909091
10;99;0.000023;0.000061;0.000293;0.000098;0.000316;0.000159;1.987421
40;0;0.000085;0.000768;0.063498;0.011609;0.063583;0.012377;5.137190
40;1;0.000090;0.000704;0.073440;0.020428;0.073530;0.021132;3.479557
40;2;0.000090;0.000944;0.076588;0.019643;0.076678;0.020587;3.724583
40;3;0.000089;0.000716;0.080085;0.019222;0.080174;0.019938;4.021166
40;4;0.000093;0.000946;0.071481;0.029390;0.071574;0.030336;2.359375
40;5;0.000133;0.000957;0.091353;0.017417;0.091486;0.018374;4.979101
40;6;0.000089;0.000705;0.070189;0.015910;0.070278;0.016615;4.229792
40;7;0.000088;0.000713;0.066996;0.020429;0.067084;0.021142;3.173021
40;8;0.000090;0.000796;0.071911;0.017695;0.072001;0.018491;3.893840
40;9;0.000089;0.000699;0.062140;0.021809;0.062229;0.022508;2.764750
40;10;0.000115;0.000712;0.058847;0.024412;0.058962;0.025124;2.346840
40;11;0.000088;0.000709;0.063096;0.021253;0.063184;0.021962;2.876969
40;12;0.000088;0.000704;0.062890;0.024504;0.062978;0.025208;2.498334
40;13;0.000090;0.000707;0.068793;0.019664;0.068883;0.020371;3.381425
40;14;0.000089;0.000698;0.058254;0.020901;0.058343;0.021599;2.701190
40;15;0.000090;0.000701;0.065617;0.019771;0.065707;0.020472;3.209603
40;16;0.000088;0.000707;0.067753;0.016568;0.067841;0.017275;3.927120
40;17;0.000090;0.000695;0.059369;0.023500;0.059459;0.024195;2.457491
40;18;0.000090;0.000709;0.062101;0.017215;0.062191;0.017924;3.469705
40;19;0.000091;0.000730;0.067482;0.017982;0.067573;0.018712;3.611212
40;20;0.000089;0.000748;0.067254;0.026135;0.067343;0.026883;2.505040
40;21;0.000088;0.000708;0.067010;0.020457;0.067098;0.021165;3.170234
40;22;0.000090;0.000704;0.082246;0.017834;0.082336;0.018538;4.441472
40;23;0.000088;0.000746;0.063177;0.018418;0.063265;0.019164;3.301242
40;24;0.000099;0.000704;0.059997;0.015604;0.060096;0.016308;3.685063
40;25;0.000089;0.000688;0.066528;0.019453;0.066617;0.020141;3.307532
40;26;0.000134;0.000752;0.062683;0.024080;0.062817;0.024832;2.529679
40;27;0.000090;0.000742;0.065154;0.022175;0.065244;0.022917;2.846969
40;28;0.000087;0.000700;0.068250;0.020031;0.068337;0.020731;3.296368
40;29;0.000090;0.000706;0.079737;0.026810;0.079827;0.027516;2.901112
40;30;0.000136;0.001042;0.073052;0.029281;0.073188;0.030323;2.413613
40;31;0.000152;0.000993;0.071317;0.017809;0.071469;0.018802;3.801138
